Unsmoothed	SavitzkyGolayFilter	ButterworthFilter
9.528	5.829	6.337
5.905	5.474	6.522
3.812	5.831	6.136
9.055	5.619	5.451
1.344	5.175	4.854
7.182	5.464	4.666
2.509	5.550	4.992
6.420	5.332	5.675
7.930	6.258	6.369
4.409	5.638	6.701
7.532	5.869	6.451
7.824	5.094	5.651
2.842	4.200	4.576
4.124	4.612	3.609
1.001	4.323	3.062
1.668	3.267	3.040
7.293	3.571	3.420
5.507	3.367	3.938
0.434	4.479	4.330
4.968	4.507	4.435
2.696	3.555	4.250
8.786	4.087	3.917
1.868	4.067	3.673
0.623	4.237	3.747
9.236	5.244	4.248
0.293	4.720	5.088
6.153	5.593	5.993
9.749	6.043	6.616
5.119	5.439	6.701
7.979	5.972	6.216
3.770	5.392	5.379
5.009	4.551	4.544
4.025	5.208	4.031
2.093	4.083	3.969
3.860	4.687	4.258
9.723	4.233	4.646
0.101	4.568	4.883
7.998	5.056	4.863
1.833	5.176	4.676
6.371	4.266	4.546
5.508	5.266	4.705
4.701	5.272	5.247
3.349	6.082	6.039
7.101	6.573	6.754
8.039	5.913	7.024
7.507	5.339	6.648
9.806	5.550	5.726
0.892	5.087	4.630
0.679	4.749	3.801
4.824	4.161	3.514
3.864	4.148	3.739
5.671	4.206	4.207
3.391	4.215	4.593
9.716	4.103	4.703
1.297	4.006	4.538
0.742	4.599	4.212
4.037	4.264	3.840
3.189	3.023	3.477
9.818	3.232	3.164
1.050	3.312	2.993
1.029	4.157	3.090
2.760	3.793	3.500
1.300	2.750	4.056
9.950	3.143	4.380
0.639	3.103	4.056
2.523	2.746	2.916
3.800	2.743	1.269
0.749	1.546	-0.108
0.264	2.782	-0.265
1.278	2.947	1.388
1.568	2.984	4.578
9.295	4.229	7.998
3.674	5.333	9.745
4.063	5.927	8.315
9.459	6.384	3.785
7.996	5.426	-1.563
5.437	5.148	-3.889
4.767	4.637	0.112
2.585	4.037	10.403
1.729	4.191	21.834
0.488	3.456	25.334
5.261	3.363	12.968
9.070	4.151	-14.428
0.296	4.135	-40.722
4.115	187.500	-33.705
8.099	220.382	46.758
1.617	350.053	232.372
1284.040	587.207	527.182
235.438	872.979	894.334
916.765	1208.376	1258.275
1660.378	1240.103	1527.387
2004.518	1273.375	1631.672
2355.879	1350.461	1557.871
223.702	1355.516	1360.644
1516.944	1253.289	1139.923
775.039	1221.719	995.252
952.153	1101.078	982.298
944.788	1213.184	1094.170
1783.529	1345.794	1274.038
1511.393	1259.108	1447.762
1008.440	1480.343	1556.813
2445.216	1468.181	1576.063
168.238	1384.426	1512.999
2500.801	1242.704	1395.504
859.649	1442.462	1258.311
1197.249	1102.527	1134.159
519.337	1198.300	1049.646
2406.744	1032.004	1022.312
65.673	1240.275	1056.178
838.646	1090.640	1136.755
1336.733	1300.721	1230.464
2317.542	976.519	1293.052
149.808	1166.571	1285.696
1989.903	1173.268	1191.580
137.328	1016.469	1025.557
1396.041	882.137	833.659
885.526	945.658	682.337
239.134	691.387	638.008
1377.221	983.605	739.941
594.453	1108.382	975.657
210.008	1212.587	1273.708
2182.853	1357.351	1525.646
2269.480	1308.250	1633.684
1614.959	1258.358	1560.714
1252.483	1318.416	1351.616
1033.513	1275.703	1109.641
245.210	1156.652	940.830
630.417	1065.106	900.833
1883.859	947.339	975.391
1436.120	1046.463	1101.313
974.141	1219.449	1208.664
428.112	1363.167	1256.502
1727.384	1135.347	1245.675
1456.108	1062.557	1208.906
1636.447	1196.882	1187.715
289.116	1332.825	1207.565
926.591	1350.592	1262.788
1914.417	1309.925	1320.483
1379.712	1138.277	1342.789
1851.755	1205.808	1312.973
1171.434	1272.555	1245.411
434.912	1204.457	1171.194
761.837	1174.173	1111.696
1393.818	1071.844	1063.387
1437.731	906.812	1007.219
1167.722	850.197	933.263
1135.452	979.311	856.911
16.216	1002.779	810.561
38.607	855.572	817.394
1665.631	870.262	870.443
1558.092	801.054	935.175
407.283	906.763	972.862
1270.556	998.837	965.240
650.996	968.947	922.539
756.176	824.954	872.287
683.127	851.681	840.097
1456.399	859.390	835.994
550.143	841.415	852.549
594.370	928.511	872.253
1324.520	843.752	877.565
525.170	709.648	858.135
1365.845	810.167	812.758
89.820	791.507	746.761
517.671	621.599	668.016
1253.772	616.276	585.009
463.753	422.462	507.481
135.161	584.434	446.753
487.910	531.899	413.182
9.144	427.463	412.064
1223.628	433.723	441.660
149.927	527.644	494.821
522.719	572.008	562.128
507.573	720.870	633.955
792.609	639.295	701.292
798.458	659.349	756.573
1051.176	739.321	794.592
652.601	816.238	812.405
290.306	836.566	808.370
1082.521	738.584	782.394
1045.994	629.649	738.473
934.909	674.962	686.630
112.584	747.179	639.813
288.626	624.579	605.796
969.792	539.091	580.530
795.825	466.895	549.885
224.321	484.517	499.852
447.579	494.380	428.018
429.541	386.445	348.230
235.935	287.555	285.322
357.666	329.161	262.735
214.247	368.895	289.545
103.593	380.613	353.952
515.566	428.856	427.614
725.717	396.985	479.383
511.566	372.024	490.770
573.638	452.625	463.465
134.569	427.051	414.343
39.517	379.440	362.492
667.804	334.084	318.459
336.544	252.368	282.999
392.445	243.400	253.842
194.074	314.891	232.523
1.623	264.111	224.839
71.795	288.293	235.581
539.954	242.772	263.477
312.341	274.907	301.000
505.822	320.919	338.293
73.793	375.874	366.868
419.019	346.183	380.399
323.710	330.019	373.923
456.482	288.215	344.456
332.114	279.266	293.789
199.192	233.995	230.937
213.195	224.512	171.019
11.149	167.215	129.827
102.126	150.080	116.810
257.327	153.231	130.622
55.401	162.958	159.925
212.167	189.576	189.021
221.256	179.298	205.234
281.282	165.797	204.180
197.471	181.206	190.279
30.182	182.277	172.528
162.819	173.990	158.409
163.267	148.019	149.858
219.665	120.267	143.586
163.244	134.842	134.739
99.483	123.469	120.689
3.208	107.191	102.341
132.210	80.008	82.730
83.209	60.788	64.706
49.317	48.705	49.535
29.387	49.840	36.966
28.705	30.952	26.177
14.899	19.518	16.697
11.150	12.880	8.829
0.000	10.923	3.541
3.169	11.129	2.033
2.849	13.577	5.275
15.686	23.814	13.687
30.151	36.740	27.024
32.035	47.776	44.379
82.807	61.992	64.179
90.482	79.754	84.116
80.423	79.294	101.140
102.357	102.781	111.809
140.024	104.540	113.302
26.929	93.864	104.993
196.444	83.336	89.833
95.121	89.802	74.387
15.748	80.869	66.779
6.726	106.634	73.152
147.619	126.712	94.590
77.498	122.807	126.557
207.282	143.127	161.277
336.994	169.100	191.426
67.783	203.554	212.759
157.987	239.629	224.583
188.541	230.757	228.949
388.792	190.577	230.010
330.026	242.908	233.614
145.176	292.823	245.809
55.734	297.762	269.660
434.100	267.668	302.051
507.391	303.474	333.185
223.113	291.054	349.918
178.137	327.204	341.545
580.670	279.100	305.424
58.234	255.100	250.095
308.779	230.897	194.245
97.372	240.114	160.838
339.396	186.895	167.521
53.691	240.826	216.842
242.655	307.364	291.647
208.139	347.514	360.332
435.752	313.858	392.145
774.543	319.903	375.725
378.421	322.745	329.182
103.808	382.216	292.675
96.000	416.457	305.197
262.555	393.657	379.220
624.436	461.396	490.234
675.434	540.504	589.377
614.947	531.342	632.086
852.592	514.146	604.864
657.568	559.047	533.209
31.860	536.098	465.644
142.185	508.116	444.107
938.742	500.058	479.504
514.790	522.914	547.297
419.077	555.172	604.665
796.185	629.960	617.536
817.559	510.442	580.877
257.662	473.444	520.570
665.707	568.022	476.255
102.111	585.411	475.855
255.805	489.851	517.819
1081.126	502.735	572.450
917.907	549.437	601.230
148.640	540.773	581.299
347.847	571.358	519.720
992.621	460.170	449.907
41.464	441.686	413.710
469.900	610.021	439.679
302.811	587.390	528.769
788.519	641.852	654.186
1326.989	639.501	774.500
189.426	766.601	852.330
1373.858	875.049	869.266
25.004	817.249	831.781
1359.598	697.392	768.189
1061.951	792.199	718.690
383.918	820.234	720.229
487.987	943.790	789.381
853.075	854.394	910.358
1570.106	917.240	1036.322
889.895	918.139	1106.620
733.829	933.103	1073.424
1501.868	849.484	925.692
390.212	633.520	699.276
592.734	656.862	467.760
267.746	572.097	316.231
58.356	464.189	307.344
1053.292	602.559	453.150
140.470	738.506	705.286
746.514	898.458	970.249
1358.798	939.898	1146.752
1544.364	882.215	1170.904
1387.408	884.408	1047.321
348.440	975.589	847.635
649.512	783.031	674.340
155.818	797.572	608.694
1384.784	750.643	671.757
10.888	890.125	819.765
1646.150	908.003	974.477
1058.910	1011.508	1069.259
1324.811	906.889	1084.004
774.661	1120.209	1049.986
880.349	1154.583	1024.464
652.455	1059.439	1052.833
1504.129	1140.893	1141.913
1886.769	1205.189	1258.582
392.897	1291.217	1351.215
1894.994	1346.109	1379.425
1224.728	1262.242	1336.093
1482.546	1210.040	1251.865
1036.699	1341.216	1180.701
917.058	1243.245	1173.193
1521.355	1318.061	1250.203
1311.134	1427.886	1390.196
1209.198	1448.660	1537.720
1748.436	1575.617	1630.005
2251.318	1397.128	1628.563
1182.122	1459.981	1538.312
1805.755	1434.538	1402.475
271.933	1279.174	1275.924
1751.104	1239.848	1194.284
1031.094	1360.249	1159.733
660.895	1137.747	1152.792
1976.032	1235.474	1160.030
2024.928	1263.531	1194.325
248.243	1361.861	1288.033
956.019	1575.808	1459.960
1947.507	1660.016	1680.417
1719.400	1463.176	1865.008
2158.525	1607.610	1909.443
2565.488	1475.611	1747.698
647.048	1324.249	1397.502
1259.285	1145.229	963.761
32.026	845.198	595.981
887.971	713.184	421.926
466.260	822.595	491.147
58.309	823.141	755.148
1641.389	1207.434	1092.547
1412.923	1140.372	1366.595
1263.111	1089.317	1487.010
2722.073	1244.311	1445.342
418.536	1399.929	1306.726
108.875	1339.685	1165.660
1143.273	1229.894	1094.069
2730.709	914.055	1110.973
991.216	1132.075	1183.963
494.576	1365.690	1251.555
511.203	1202.524	1250.154
1944.670	812.732	1137.520
1744.181	671.473	910.011
1.116	601.856	607.731
2.161	529.977	300.768
2.405	252.505	59.575
7.256	3.497	-75.048
8.052	4.235	-105.280
2.363	4.641	-67.353
1.126	5.189	-8.767
6.283	4.894	33.928
5.002	4.341	46.228
6.238	4.309	33.632
5.191	5.192	11.503
4.186	5.285	-5.870
2.139	4.891	-11.696
7.304	5.337	-7.220
6.933	5.548	1.764
2.243	5.306	9.343
9.361	5.511	12.384
6.671	5.523	11.057
2.488	5.063	7.561
3.577	6.162	4.311
7.388	5.268	2.677
3.713	4.518	2.718
9.933	4.993	3.700
3.108	5.036	4.821
1.421	5.225	5.659
5.812	5.916	6.188
3.877	5.175	6.514
8.711	6.060	6.649
8.551	6.150	6.475
4.747	5.477	5.906
9.299	5.046	5.048
2.055	4.838	4.212
1.098	4.717	3.744
0.863	4.048	3.789
7.250	3.793	4.170
7.707	3.795	4.484
0.065	3.774	4.352
7.514	3.736	3.672
2.069	3.262	2.707
0.950	2.303	1.959
0.601	3.562	1.906
3.932	3.825	2.733
0.988	4.320	4.230
8.881	5.519	5.889
9.353	5.873	7.152
5.536	6.321	7.676
9.345	7.214	7.455
3.080	6.525	6.774
7.064	5.906	6.033
7.239	6.437	5.557
4.057	5.529	5.475
5.022	6.299	5.719
9.251	6.347	6.099
2.993	5.631	6.412
8.465	6.380	6.528
7.403	6.496	6.423
2.228	5.494	6.166
9.297	6.279	5.862
5.835	5.415	5.599
2.240	5.462	5.407
8.486	5.180	5.249
2.415	4.843	5.044
7.732	4.458	4.714
0.255	4.579	4.239
6.939	3.549	3.684
3.136	3.211	3.188
3.088	3.425	2.901
1.275	3.700	2.903
0.053	2.972	3.141
9.227	3.182	3.440
2.178	2.960	3.595
1.847	3.203	3.477
4.603	3.689	3.114
1.538	2.760	2.679
2.976	2.600	2.411
3.456	2.872	2.488
2.725	3.055	2.932
1.052	3.759	3.562
3.755	3.448	4.060
5.885	3.190	4.123
6.467	2.988	3.639
0.798	2.936	2.789
1.647	3.011	1.979
1.312	2.571	1.644
0.690	2.805	2.016
4.277	3.033	2.998
2.804	4.205	4.209
8.104	4.800	5.186
2.398	4.811	5.621
9.848	4.440	5.507
5.479	5.443	5.107
0.768	4.638	4.769
1.679	5.464	4.705
9.829	4.943	4.867
2.464	4.265	5.016
8.185	4.433	4.923
6.200	5.081	4.548
0.733	4.027	4.084
1.942	4.828	3.825
6.217	4.091	3.963
2.447	4.325	4.458
8.070	4.943	5.054
3.026	4.981	5.427
7.837	4.153	5.356
5.061	4.905	4.828
2.210	3.755	4.034
0.420	4.038	3.262
7.712	3.587	2.776
0.017	3.032	2.734
5.009	3.508	3.157
4.677	4.869	3.942
1.176	4.592	4.888
5.541	5.688	5.749
9.950	5.082	6.302
5.773	5.331	6.441
7.688	6.529	6.207
0.768	6.118	5.764
6.420	4.744	5.300
9.565	4.631	4.936
2.662	4.801	4.676
0.332	4.721	4.427
4.984	4.339	4.073
8.877	3.174	3.571
0.206	2.818	3.021
3.748	3.452	2.644
1.409	4.037	2.663
0.168	3.453	3.167
4.774	4.460	4.035
9.074	4.209	5.001
4.791	5.309	5.799
7.256	6.362	6.290
1.992	6.171	6.497
9.110	6.075	6.530
7.539	6.500	6.499
3.438	6.008	6.447
8.396	6.616	6.367
7.771	6.526	6.249
3.810	6.000	6.126
6.251	6.237	6.065
8.480	6.193	6.125
3.857	6.138	6.292
5.092	6.332	6.458
8.087	6.054	6.454
7.389	5.589	6.149
5.170	5.285	5.540
4.302	5.137	4.790
5.227	4.664	4.166
1.728	4.668	3.915
4.056	5.327	4.149
4.776	4.879	4.803
7.417	5.458	5.680
9.780	6.052	6.540
1.168	6.538	7.174
9.279	7.169	7.431
5.885	6.513	7.235
7.463	5.700	6.612
9.193	6.055	5.717
2.820	5.021	4.831
4.089	4.986	4.257
3.652	5.154	4.177
2.042	4.588	4.538
5.646	5.292	5.077
8.638	5.092	5.474
5.226	4.865	5.564
7.753	5.717	5.435
2.685	5.841	5.355
2.066	5.660	5.565
8.003	6.331	6.074
6.512	6.217	6.636
7.377	5.858	6.897
9.917	5.717	6.633
6.958	5.832	5.904
0.169	5.650	5.019
1.085	5.582	4.354
8.805	4.378	4.153
5.240	4.103	4.436
6.897	5.428	5.035
1.489	6.156	5.700
5.036	6.104	6.199
9.446	5.458	6.386
6.182	5.087	6.241
8.440	5.928	5.868
0.718	6.276	5.436
4.298	5.045	5.104
7.374	5.566	4.955
7.476	4.596	4.990
0.824	5.347	5.166
9.831	6.048	5.434
1.653	5.702	5.752
5.975	6.023	6.075
9.203	6.276	6.358
4.951	5.791	6.562
9.721	6.728	6.671
2.598	6.797	6.680
6.438	5.891	6.574
8.211	6.560	6.330
6.454	5.526	5.939
2.861	5.474	5.459
9.635	5.586	5.025
2.485	5.159	4.796
2.236	5.191	4.866
7.224	5.476	5.179
5.216	4.165	5.516
6.679	5.183	5.586
4.859	4.876	5.169
0.459	3.911	4.247
9.611	3.259	3.054
0.082	2.385	2.005
0.474	2.792	1.528
0.645	3.838	1.856
0.566	3.129	2.910
7.704	4.184	4.323
7.785	4.631	5.616
4.643	5.243	6.410
7.470	5.782	6.557
3.602	5.803	6.129
4.928	4.730	5.325
4.340	4.333	4.371
7.853	3.585	3.473
0.277	3.978	2.818
1.861	3.351	2.564
2.236	3.898	2.803
6.349	3.486	3.505
0.538	4.480	4.496
8.173	5.296	5.494
4.966	5.640	6.206
7.238	4.818	6.433
7.571	5.996	6.148
4.647	5.405	5.493
0.594	4.961	4.719
8.786	4.291	4.088
4.036	4.240	3.785
1.854	4.856	3.881
2.551	5.231	4.332
7.210	4.553	5.008
8.958	5.325	5.745
3.224	6.048	6.381
4.039	6.807	6.780
9.440	5.883	6.847
6.915	5.940	6.553
7.865	5.624	5.964
0.742	5.819	5.249
9.357	4.685	4.622
1.008	4.721	4.255
5.408	4.323	4.191
1.499	4.949	4.327
7.166	4.018	4.477
5.078	4.343	4.485
5.129	3.872	4.322
2.836	4.373	4.093
3.283	4.687	3.958
2.114	4.050	4.025
5.008	4.746	4.293
9.358	4.466	4.678
0.624	4.665	5.087
10.000	5.578	5.466
0.875	6.276	5.786
4.678	5.400	6.006
8.506	5.602	6.066
9.893	4.950	5.925
3.221	6.236	5.621
2.040	5.834	5.280
5.435	5.551	5.065
9.880	4.974	5.099
1.859	5.261	5.403
6.530	6.032	5.870
5.851	6.471	6.291
5.234	5.114	6.419
7.432	4.975	6.068
8.512	4.742	5.204
0.378	4.040	3.987
0.890	3.637	2.724
4.900	2.735	1.767
0.938	1.931	1.391
2.412	2.640	1.698
1.119	3.246	2.577
2.879	3.499	3.724
5.341	4.479	4.752
5.129	4.443	5.336
6.674	4.632	5.369
7.800	4.480	5.003
2.160	4.761	4.566
2.442	4.981	4.357
1.811	5.318	4.477
7.311	4.560	4.793
6.673	4.527	5.079
9.028	5.208	5.218
2.496	6.104	5.308
1.927	6.280	5.578
7.211	6.117	6.184
8.084	6.192	7.030
8.545	6.363	7.757
5.532	6.920	7.909
9.547	6.648	7.186
3.694	6.847	5.641
5.825	5.825	3.691
5.307	5.307	1.915
9.476	9.476	0.729
9.149	9.149	0.179
8.878	8.878	0.021
